Release_Date,Title,Popularity,Vote_Count,Vote_Average,Genre
2021,Spider-Man: No Way Home,5083.954,8940,Blockbuster,Action
2021,Spider-Man: No Way Home,5083.954,8940,Blockbuster,Adventure
2021,Spider-Man: No Way Home,5083.954,8940,Blockbuster,Science Fiction
2022,The Batman,3827.658,1151,Blockbuster,Crime
2022,The Batman,3827.658,1151,Blockbuster,Mystery
2022,The Batman,3827.658,1151,Blockbuster,Thriller
2022,No Exit,2618.087,122,Average_Performer,Thriller
2021,Encanto,2402.201,5076,Blockbuster,Animation
2021,Encanto,2402.201,5076,Blockbuster,Comedy
2021,Encanto,2402.201,5076,Blockbuster,Family
2021,Encanto,2402.201,5076,Blockbuster,Fantasy
2021,The King's Man,1895.511,1793,Well_Received,Action
2021,The King's Man,1895.511,1793,Well_Received,Adventure
2021,The King's Man,1895.511,1793,Well_Received,Thriller
2021,The King's Man,1895.511,1793,Well_Received,War
2022,The Commando,1750.484,33,Well_Received,Action
2022,The Commando,1750.484,33,Well_Received,Crime
2022,The Commando,1750.484,33,Well_Received,Thriller
2022,Scream,1675.161,821,Well_Received,Horror
2022,Scream,1675.161,821,Well_Received,Mystery
2022,Scream,1675.161,821,Well_Received,Thriller
2022,Kimi,1601.782,206,Average_Performer,Thriller
2022,Fistful of Vengeance,1594.013,114,Low_Rated,Action
2022,Fistful of Vengeance,1594.013,114,Low_Rated,Crime
2022,Fistful of Vengeance,1594.013,114,Low_Rated,Fantasy
2021,Eternals,1537.406,4726,Blockbuster,Science Fiction
2022,Pursuit,1500.523,16,Low_Rated,Action
2022,Pursuit,1500.523,16,Low_Rated,Crime
2022,Pursuit,1500.523,16,Low_Rated,Thriller
2021,My Hero Academia: World Heroes' Mission,1485.064,100,Blockbuster,Animation
2021,My Hero Academia: World Heroes' Mission,1485.064,100,Blockbuster,Action
2021,My Hero Academia: World Heroes' Mission,1485.064,100,Blockbuster,Fantasy
2021,My Hero Academia: World Heroes' Mission,1485.064,100,Blockbuster,Adventure
2022,Restless,1468.377,107,Low_Rated,Action
